Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,
"MSVCP120D.dll",584,94.61,94.55,0.01,0.01,
"ConsoleApplication2.exe","1,156",100.00,4.70,4.54,0.00,
"MSVCR120D.dll",8,0.71,0.69,0.00,0.00,
"ntdll.dll",5,0.06,0.06,0.00,0.00,
