Type,Root Function Name,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"Root","__security_init_cookie","__security_init_cookie",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","__security_init_cookie","mainCRTStartup",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Root","__set_app_type","__set_app_type",1,0.00,0.00,0.00,0.00,"MSVCR120D.dll",
"Caller","__set_app_type","pre_c_init",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Root","__tmainCRTStartup","__tmainCRTStartup",1,98.10,0.29,4.45,0.01,"ConsoleApplication2.exe",
"Caller","__tmainCRTStartup","mainCRTStartup",1,98.10,0.29,4.45,0.01,"ConsoleApplication2.exe",
"Callee","__tmainCRTStartup","__atonexitinit",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Callee","__tmainCRTStartup","__CxxSetUnhandledExceptionFilter",1,0.55,0.55,0.03,0.03,"ConsoleApplication2.exe",
"Callee","__tmainCRTStartup","_CrtSetCheckCount",1,0.00,0.00,0.00,0.00,"MSVCR120D.dll",
"Callee","__tmainCRTStartup","`dynamic initializer for 'std::_Error_objects<int>::_Generic_object''",1,0.13,0.10,0.01,0.00,"ConsoleApplication2.exe",
"Callee","__tmainCRTStartup","`dynamic initializer for 'std::_Error_objects<int>::_Iostream_object''",1,0.03,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Callee","__tmainCRTStartup","`dynamic initializer for 'std::_Error_objects<int>::_System_object''",1,0.03,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Callee","__tmainCRTStartup","exit",1,0.17,0.15,0.01,0.01,"MSVCR120D.dll",
"Callee","__tmainCRTStartup","main",1,96.17,0.02,4.37,0.00,"ConsoleApplication2.exe",
"Callee","__tmainCRTStartup","pre_c_init",1,0.24,0.00,0.01,0.00,"ConsoleApplication2.exe",
"Callee","__tmainCRTStartup","pre_cpp_init",1,0.48,0.00,0.02,0.00,"ConsoleApplication2.exe",
"Callee","__tmainCRTStartup","std::`dynamic initializer for 'allocator_arg''",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Callee","__tmainCRTStartup","std::`dynamic initializer for 'piecewise_construct''",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Root","_CrtSetCheckCount","_CrtSetCheckCount",1,0.00,0.00,0.00,0.00,"MSVCR120D.dll",
"Caller","_CrtSetCheckCount","__tmainCRTStartup",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Root","_invoke_watson_if_error","_invoke_watson_if_error",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_invoke_watson_if_error","_setdefaultprecision",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Root","_onexit","_onexit",4,0.15,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_onexit","atexit",4,0.15,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Callee","_onexit","_onexit",4,0.13,0.13,0.00,0.00,"MSVCR120D.dll",
"Callee","_onexit","RtlDecodePointer",4,0.02,0.02,0.00,0.00,"ntdll.dll",
"Root","_onexit","_onexit",4,0.13,0.13,0.00,0.00,"MSVCR120D.dll",
"Caller","_onexit","_onexit",4,0.13,0.13,0.00,0.00,"ConsoleApplication2.exe",
"Root","_RTC_CheckEsp","_RTC_CheckEsp",792,0.05,0.05,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","`dynamic atexit destructor for 'std::_Error_objects<int>::_Generic_object''",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","`dynamic atexit destructor for 'std::_Error_objects<int>::_Iostream_object''",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","`dynamic atexit destructor for 'std::_Error_objects<int>::_System_object''",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","`dynamic initializer for 'std::_Error_objects<int>::_Generic_object''",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","`dynamic initializer for 'std::_Error_objects<int>::_Iostream_object''",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","`dynamic initializer for 'std::_Error_objects<int>::_System_object''",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","main",11,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","std::_Generic_error_category::_Generic_error_category",3,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
