Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,
"MSVCP120D.dll",998,95.30,95.25,0.01,0.01,
"ConsoleApplication2.exe","1,941",100.00,4.18,8.43,0.00,
"MSVCR120D.dll",8,0.55,0.53,0.01,0.01,
"ntdll.dll",5,0.04,0.04,0.00,0.00,
