Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"??6?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV01@P6AAAV01@AAV01@@Z@Z",20,6.87,0.11,0.03,0.00,"MSVCP120D.dll",
"String_Buffer::~String_Buffer",2,0.10,0.10,0.00,0.00,"ConsoleApplication2.exe",
"?setstate@?$basic_ios@DU?$char_traits@D@std@@@std@@QAEXH_N@Z",54,0.08,0.08,0.00,0.00,"MSVCP120D.dll",
"std::operator<<<std::char_traits<char> >",10,66.10,0.08,0.53,0.00,"ConsoleApplication2.exe",
"std::basic_ostream<char,std::char_traits<char> >::_Sentry_base::~_Sentry_base",54,0.22,0.08,0.00,0.00,"ConsoleApplication2.exe",
"[MSVCP120D.dll]",54,0.07,0.07,0.00,0.00,"MSVCP120D.dll",
"_onexit",4,0.07,0.07,0.00,0.00,"MSVCR120D.dll",
"?good@ios_base@std@@QBE_NXZ",108,0.07,0.07,0.00,0.00,"MSVCP120D.dll",
"`dynamic initializer for 'std::_Error_objects<int>::_Generic_object''",1,0.08,0.06,0.01,0.01,"ConsoleApplication2.exe",
"std::basic_ostream<char,std::char_traits<char> >::_Sentry_base::_Sentry_base",54,0.17,0.06,0.00,0.00,"ConsoleApplication2.exe",
"String_Buffer::append",7,0.07,0.05,0.00,0.00,"ConsoleApplication2.exe",
"std::char_traits<char>::eof",44,0.05,0.05,0.00,0.00,"ConsoleApplication2.exe",
"?width@ios_base@std@@QAE_J_J@Z",54,0.05,0.05,0.00,0.00,"MSVCP120D.dll",
"[MSVCP120D.dll]",54,0.05,0.05,0.00,0.00,"MSVCP120D.dll",
"std::char_traits<char>::eq_int_type",44,0.05,0.05,0.00,0.00,"ConsoleApplication2.exe",
"?flags@ios_base@std@@QBEHXZ",54,0.05,0.05,0.00,0.00,"MSVCP120D.dll",
"String_Buffer::print",6,23.29,0.04,0.31,0.00,"ConsoleApplication2.exe",
"std::endl<char,std::char_traits<char> >",20,6.77,0.04,0.03,0.00,"ConsoleApplication2.exe",
"String::append",7,0.27,0.04,0.00,0.00,"ConsoleApplication2.exe",
"?width@ios_base@std@@QBE_JXZ",54,0.04,0.04,0.00,0.00,"MSVCP120D.dll",
"?tie@?$basic_ios@DU?$char_traits@D@std@@@std@@QBEPAV?$basic_ostream@DU?$char_traits@D@std@@@2@XZ",54,0.04,0.04,0.00,0.00,"MSVCP120D.dll",
"std::char_traits<char>::length",10,0.03,0.03,0.00,0.00,"ConsoleApplication2.exe",
"String::String",1,0.16,0.03,0.01,0.00,"ConsoleApplication2.exe",
"main",1,96.87,0.03,7.74,0.00,"ConsoleApplication2.exe",
"RtlEncodePointer",1,0.02,0.02,0.00,0.00,"ntdll.dll",
"std::basic_ostream<char,std::char_traits<char> >::sentry::operator bool",54,0.02,0.02,0.00,0.00,"ConsoleApplication2.exe",
"RtlDecodePointer",4,0.01,0.01,0.00,0.00,"ntdll.dll",
"String_Buffer::`scalar deleting destructor'",2,0.11,0.01,0.00,0.00,"ConsoleApplication2.exe",
"String_Buffer::allocate",2,0.17,0.01,0.01,0.00,"ConsoleApplication2.exe",
"_RTC_CheckStackVars",55,0.01,0.01,0.00,0.00,"ConsoleApplication2.exe",
"String::print",6,23.30,0.01,0.31,0.00,"ConsoleApplication2.exe",
"String::~String",2,0.12,0.00,0.00,0.00,"ConsoleApplication2.exe",
"std::_Generic_error_category::_Generic_error_category",3,0.01,0.00,0.00,0.00,"ConsoleApplication2.exe",
"String_Buffer::String_Buffer",1,0.17,0.00,0.01,0.00,"ConsoleApplication2.exe",
"String_Buffer::get_references",9,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"__set_app_type",1,0.00,0.00,0.00,0.00,"MSVCR120D.dll",
"check_managed_app",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"pre_c_init",1,0.16,0.00,0.01,0.00,"ConsoleApplication2.exe",
"std::_Generic_error_category::~_Generic_error_category",3,0.01,0.00,0.00,0.00,"ConsoleApplication2.exe",
